train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct,source_file
RedmiNote9,RedmiNote9,0.4,50,none,0,872.31,20.94,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.4,50,none,0,818.91,15.93,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.4,50,none,0,716.38,15.34,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.5,10,none,0,1003.43,24.69,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.5,10,none,0,712.25,14.09,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.5,10,none,0,693.48,14.42,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.5,20,none,0,903.89,21.26,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.5,20,none,0,769.14,15.07,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.5,20,none,0,712.72,15.09,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.5,30,none,0,877.95,20.83,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.5,30,none,0,821.72,15.83,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.5,30,none,0,707.06,15.09,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.5,40,none,0,861.76,20.42,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.5,40,none,0,888.12,16.64,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.5,40,none,0,738.45,15.48,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.5,50,none,0,861.43,20.9,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.5,50,none,0,846.81,16.2,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.5,50,none,0,720.72,15.3,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.6,10,none,0,940.45,21.78,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.6,10,none,0,743.84,14.66,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.6,10,none,0,723.18,15.16,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.6,20,none,0,871.87,20.6,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.6,20,none,0,829.39,15.86,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.6,20,none,0,717.87,15.24,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.6,30,none,0,846.0,20.34,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.6,30,none,0,887.05,16.49,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.6,30,none,0,726.7,15.29,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.6,40,none,0,830.75,20.15,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.6,40,none,0,905.52,16.63,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.6,40,none,0,738.71,15.38,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.6,50,none,0,819.26,20.07,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.6,50,none,0,915.32,16.74,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.6,50,none,0,739.34,15.37,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.7,10,none,0,915.82,21.44,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.7,10,none,0,760.52,15.01,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.7,10,none,0,722.32,15.3,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.7,20,none,0,856.81,20.36,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.7,20,none,0,862.69,16.13,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.7,20,none,0,718.99,15.17,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.7,30,none,0,834.9,20.06,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.7,30,none,0,907.57,16.54,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.7,30,none,0,732.68,15.24,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.7,40,none,0,825.23,19.93,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProBlue,0.7,40,none,0,930.14,16.82,results_RN9_adv_none.csv
RedmiNote9,RedmiNote10ProPink,0.7,40,none,0,752.3,15.49,results_RN9_adv_none.csv
RedmiNote9,RedmiNote9,0.7,50,none,0,809.75,19.71,results_RN9_adv_none.csv
