train_device,test_device,fraction,epochs,freeze,recalc_scalers,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote10ProBlue,0.8,10,none,1,820.09,15.77
RedmiNote9,RedmiNote10ProPink,0.8,10,none,1,737.6,15.45
RedmiNote9,RedmiNote9,0.8,20,none,1,800.1,19.56
RedmiNote9,RedmiNote10ProBlue,0.8,20,none,1,894.93,16.4
RedmiNote9,RedmiNote10ProPink,0.8,20,none,1,746.65,15.37
RedmiNote9,RedmiNote9,0.8,30,none,1,796.16,19.38
RedmiNote9,RedmiNote10ProBlue,0.8,30,none,1,963.38,17.23
RedmiNote9,RedmiNote10ProPink,0.8,30,none,1,782.03,15.79
RedmiNote9,RedmiNote9,0.8,40,none,1,784.57,19.35
RedmiNote9,RedmiNote10ProBlue,0.8,40,none,1,946.34,17.09
RedmiNote9,RedmiNote10ProPink,0.8,40,none,1,772.59,15.7
RedmiNote9,RedmiNote9,0.8,50,none,1,789.37,19.55
RedmiNote9,RedmiNote10ProBlue,0.8,50,none,1,926.13,16.77
RedmiNote9,RedmiNote10ProPink,0.8,50,none,1,761.44,15.53
