train_device,test_device,fraction,epochs,MAE_mJ,MAPE_pct
RedmiNote9,RedmiNote10ProPink,0.8,10,733.39,15.49
RedmiNote9,RedmiNote9,0.8,10,905.41,21.23
RedmiNote9,RedmiNote10ProBlue,0.8,20,879.76,16.39
RedmiNote9,RedmiNote10ProPink,0.8,20,727.07,15.29
RedmiNote9,RedmiNote9,0.8,20,849.7,20.61
RedmiNote9,RedmiNote10ProBlue,0.8,30,930.45,16.89
RedmiNote9,RedmiNote10ProPink,0.8,30,754.6,15.55
RedmiNote9,RedmiNote9,0.8,30,827.99,20.14
RedmiNote9,RedmiNote10ProBlue,0.8,40,942.15,16.94
RedmiNote9,RedmiNote10ProPink,0.8,40,754.36,15.48
RedmiNote9,RedmiNote9,0.8,40,823.16,20.07
RedmiNote9,RedmiNote10ProBlue,0.8,50,977.24,17.34
RedmiNote9,RedmiNote10ProPink,0.8,50,781.78,15.81
RedmiNote9,RedmiNote9,0.8,50,808.1,19.73
RedmiNote9,RedmiNote10ProBlue,0.8,100,945.11,16.98
RedmiNote9,RedmiNote10ProPink,0.8,100,760.91,15.57
RedmiNote9,RedmiNote9,0.8,100,816.25,19.99
RedmiNote9,RedmiNote10ProBlue,0.8,200,945.76,16.99
RedmiNote9,RedmiNote10ProPink,0.8,200,758.03,15.54
RedmiNote9,RedmiNote9,0.8,200,817.33,19.93
